id,domain,protocol,responseStart,domInteractive,domComplete,nextHopProtocol,successful,protocol_verified
1,www.google.com,HTTP/3,157.60000000009313,441.8000000002794,1192.6000000000931,h3,True,True
5,www.facebook.com,HTTP/3,164.39999999990687,1052.2999999998135,1262.5999999996277,h3,True,True
9,www.youtube.com,HTTP/3,97.40000000037251,2786.100000000093,2930.2000000001863,h3,True,True
10,www.googleapis.com,HTTP/3,152.09999999962747,175.6999999997206,285.59999999962747,h3,True,True
11,www.cloudflare.com,HTTP/3,574.7999999998137,1343.8999999999069,2605.5,h3,True,True
13,www.instagram.com,HTTP/3,95.79999999981374,404.89999999990687,452.5,h3,True,True
15,www.gstatic.com,HTTP/3,148.60000000009313,172.90000000037253,300.90000000037253,h3,True,True
19,www.linkedin.com,HTTP/3,317.60000000009313,367.10000000009313,771.9000000003725,h3,True,True
21,www.googlevideo.com,HTTP/3,126.70000000018626,151.8000000002794,258.90000000037253,h3,True,True
22,www.googletagmanager.com,HTTP/3,77.89999999990687,105.0,225.1999999997206,h3,True,True
24,www.amazon.com,HTTP/3,155.29999999981374,287.70000000018626,581.0,h3,True,True
25,www.fbcdn.net,HTTP/3,309.5,1215.7999999998135,1439.3999999999069,h3,True,True
32,www.googleusercontent.com,HTTP/3,101.60000000009312,126.39999999990688,255.0,h3,True,True
41,www.bing.com,HTTP/3,115.0,300.8000000002794,354.0,h3,True,True
42,www.wordpress.org,HTTP/3,123.39999999990688,306.60000000009313,416.79999999981374,h3,True,True
49,www.pinterest.com,HTTP/3,245.1999999997206,461.0,1117.2999999998135,h3,True,True
58,www.goo.gl,HTTP/3,287.89999999990687,314.10000000009313,442.39999999990687,h3,True,True
60,www.whatsapp.com,HTTP/3,366.2000000001863,1265.5,1357.6000000000931,h3,True,True
72,www.bit.ly,HTTP/3,219.40000000037253,261.60000000009313,286.8000000002794,h3,True,True
76,www.wordpress.com,HTTP/3,323.10000000009313,594.1999999997206,728.7999999998137,h3,True,True
84,www.mozilla.org,HTTP/3,630.0,993.8000000002794,997.3000000002794,h3,True,True
91,www.googleadservices.com,HTTP/3,110.0,124.5,236.70000000018624,h3,True,True
92,www.blogspot.com,HTTP/3,687.8999999999069,915.0,1011.6000000000932,h3,True,True
101,www.reddit.com,HTTP/3,423.39999999990687,493.5999999996274,494.5999999996274,h3,True,True
106,www.snapchat.com,HTTP/3,198.3000000002794,220.0,772.1000000000931,h3,True,True
115,www.sentry.io,HTTP/3,308.6999999997206,646.2999999998137,947.0,h3,True,True
125,www.dropbox.com,HTTP/3,275.60000000009313,1472.6999999997206,2836.5,h3,True,True
129,www.tumblr.com,HTTP/3,255.60000000009316,491.7000000001863,2535.5,h3,True,True
137,www.t-online.de,HTTP/3,61.10000000009313,782.6000000000931,1341.1000000000931,h3,True,True
141,www.ui.com,HTTP/3,43.10000000009313,411.0,4554.600000000093,h3,True,True
143,www.applovin.com,HTTP/3,285.8000000002794,729.2000000001863,731.9000000003725,h3,True,True
145,www.epicgames.com,HTTP/3,97.74500000011176,119.7349999998696,199.9249999998137,h3,True,True
151,www.paypal.com,HTTP/3,638.6000000000931,838.7000000001863,1841.600000000093,h3,True,True
162,www.medium.com,HTTP/3,129.2650000001304,152.1750000002794,263.32500000018626,h3,True,True
168,www.forbes.com,HTTP/3,58.5,458.89999999990687,652.5,h3,True,True
175,www.w3.org,HTTP/3,71.79999999981374,247.0,738.2999999998137,h3,True,True
177,www.theguardian.com,HTTP/3,67.10000000009313,138.89999999990687,836.5,h3,True,True
192,www.android.com,HTTP/3,81.5,393.60000000009313,492.0,h3,True,True
193,www.taobao.com,HTTP/3,79.5,886.2999999998137,5666.799999999814,h3,True,True
197,www.ozon.ru,HTTP/3,255.6999999997206,578.3999999999069,578.6999999997206,h3,True,True
201,www.taboola.com,HTTP/3,83.09999999962747,614.0999999996275,1460.5999999996277,h3,True,True
203,www.twitch.tv,HTTP/3,67.39999999990687,805.2000000001863,2958.100000000093,h3,True,True
206,www.bbc.com,HTTP/3,52.8000000002794,100.8000000002794,1555.3000000002794,h3,True,True
213,www.sourceforge.net,HTTP/3,68.40000000037253,185.60000000009316,186.8000000002794,h3,True,True
